0,1,2
1,1,"חֲזוֹן יְשַׁעְיָהוּ בֶן־אָמוֹץ אֲשֶׁר חָזָה עַל־יְהוּדָה וִירוּשָׁלִָם בִּימֵי עֻזִּיָּהוּ יוֹתָם אָחָז יְחִזְקִיָּהוּ מַלְכֵי יְהוּדָה ׃"
1,2,"שִׁמְעוּ שָׁמַיִם וְהַאֲזִינִי אֶרֶץ כִּי יְהוָה דִּבֵּר בָּנִים גִּדַּלְתִּי וְרוֹמַמְתִּי וְהֵם פָּשְׁעוּ בִי ׃"
1,3,"יָדַע שׁוֹר קֹנֵהוּ וַחֲמוֹר אֵבוּס בְּעָלָיו יִשְׂרָאֵל לֹא יָדַע עַמִּי לֹא הִתְבּוֹנָן ׃"
1,4,"הוֹי גּוֹי חֹטֵא עַם כֶּבֶד עָוֹן זֶרַע מְרֵעִים בָּנִים מַשְׁחִיתִים עָזְבוּ אֶת־יְהוָה נִאֲצוּ אֶת־קְדוֹשׁ יִשְׂרָאֵל נָזֹרוּ אָחוֹר ׃"
1,5,"עַל מֶה תֻכּוּ עוֹד תּוֹסִיפוּ סָרָה כָּל־רֹאשׁ לָחֳלִי וְכָל־לֵבָב דַּוָּי ׃"
1,6,"מִכַּף־רֶגֶל וְעַד־רֹאשׁ אֵין־בּוֹ מְתֹם פֶּצַע וְחַבּוּרָה וּמַכָּה טְרִיָּה לֹא־זֹרוּ וְלֹא חֻבָּשׁוּ וְלֹא רֻכְּכָה בַּשָּׁמֶן ׃"
1,7,"אַרְצְכֶם שְׁמָמָה עָרֵיכֶם שְׂרֻפוֹת אֵשׁ אַדְמַתְכֶם לְנֶגְדְּכֶם זָרִים אֹכְלִים אֹתָהּ וּשְׁמָמָה כְּמַהְפֵּכַת זָרִים ׃׃"
1,8,"וְנוֹתְרָה בַת־צִיּוֹן כְּסֻכָּה בְכָרֶם כִּמְלוּנָה בְמִקְשָׁה כְּעִיר נְצוּרָה ׃"
1,9,"לוּלֵי יְהוָה צְבָאוֹת הוֹתִיר לָנוּ שָׂרִיד כִּמְעָט כִּסְדֹם הָיִינוּ לַעֲמֹרָה דָּמִינוּ ׃"
1,10,"שִׁמְעוּ דְבַר־יְהוָה קְצִינֵי סְדֹם הַאֲזִינוּ תּוֹרַת אֱלֹהֵינוּ עַם עֲמֹרָה ׃"
1,11,"לָמָּה־לִּי רֹב־זִבְחֵיכֶם יֹאמַר יְהוָה שָׂבַעְתִּי עֹלוֹת אֵילִים וְחֵלֶב מְרִיאִים וְדַם פָּרִים וּכְבָשִׂים וְעַתּוּדִים לֹא חָפָצְתִּי ׃"
1,12,"כִּי תָבֹאוּ לֵרָאוֹת פָּנָי מִי־בִקֵּשׁ זֹאת מִיֶּדְכֶם רְמֹס חֲצֵרָי ׃"
1,13,"לֹא תוֹסִיפוּ הָבִיא מִנְחַת־שָׁוְא קְטֹרֶת תּוֹעֵבָה הִיא לִי חֹדֶשׁ וְשַׁבָּת קְרֹא מִקְרָא לֹא־אוּכַל אָוֶן וַעֲצָרָה ׃"
